artist_name,listeners,playcount,plays_per_listener,breakout,log_listeners,log_playcount,total_views,avg_views_per_day,max_views_per_day,total_likes,total_comments,video_count,engagement_rate,log_total_views,log_avg_vpd,headline_count,sentiment_score,avg_sentiment_confidence
Giveon,1081052,45467218,42.06,0,13.893446124096629,17.63250216272558,3675905.0,13293.029,23575.09,82285.0,1689.0,10.0,0.0228,15.11731019085764,9.495070266034382,6.0,0.667,0.9489319324493408
Surfaces,913059,15577377,17.06,0,13.724556874832926,16.56133029156115,2194081.0,74726.871,639865.0,26873.0,841.0,10.0,0.0126,14.601274293777056,11.221608407290622,20.0,0.45,0.9291079998016356
Glass Animals,2672300,139082004,52.05,1,14.798450456994772,18.75057428116338,764084.0,3642.239,11439.2,6581.0,373.0,10.0,0.0091,13.546434318504609,8.200628400127014,8.0,0.625,0.9578892737627028
Tate McRae,2308676,291077996,126.08,1,14.652185191154336,19.48910182014973,6332608.0,23609.597,130523.56,91266.0,2053.0,10.0,0.0147,15.661222873500986,10.069450915655683,19.0,0.737,0.970922523423245
Stephen Sanchez,1563825,31090573,19.88,0,14.262645940701367,17.25241524439265,2147372.0,4987.382,9842.61,30986.0,350.0,10.0,0.0146,14.579755792558617,8.51486688766866,4.0,0.75,0.9725417643785476
Conan Gray,2464846,264863858,107.46,1,14.717640294567053,19.394726512318442,5168139.0,10428.527,18841.0,156193.0,8378.0,10.0,0.0318,15.458023413860936,9.252396197014416,7.0,0.714,0.9945252197129386
Tai Verdes,581490,9898319,17.02,0,13.273350773606982,16.10787560373496,47996.0,192.81300000000002,1239.79,1026.0,53.0,10.0,0.0225,10.778893787936822,5.266893776670304,0.0,0.0,0.0
GAYLE,797681,9014428,11.3,0,13.589465300770618,16.01433707373392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joji,3068795,383855281,125.08,1,14.936795860229322,19.76577616972707,22135210.0,64168.94300000001,320225.77,644538.0,16828.0,10.0,0.0299,16.912680156517673,11.069290202478623,17.0,0.529,0.93181452330421
Cautious Clay,517867,7378684,14.25,0,13.157475662513066,15.814105996418107,87214.0,301.758,984.89,1338.0,63.0,10.0,0.0161,11.376131613452236,5.712933806526691,2.0,1.0,0.9816122949123384
Omar Apollo,1544281,66693191,43.19,1,14.250069635376796,18.015613436710943,2016480.0,11433.908,107576.19,52534.0,1762.0,10.0,0.0269,14.516864470984867,9.344426060950095,4.0,0.5,0.9099124521017076
Snoh Aalegra,906195,21487119,23.71,0,13.717010897168796,16.88296424381646,364922.0,645.488,2547.31,5726.0,260.0,10.0,0.0164,12.80744165140556,6.471554636554727,0.0,0.0,0.0
UMI,911996,32618092,35.77,0,13.723391979577373,17.300377692381396,9850513.0,32617.05,85887.43,48475.0,1342.0,10.0,0.0051,16.103034194527915,10.392621095111636,20.0,0.45,0.914820471405983
Arlo Parks,774601,17294519,22.33,0,13.56010462803725,16.66590024628223,1487061.0,2583.7599999999998,10487.07,19030.0,712.0,10.0,0.0133,14.212312919260382,7.857387939305435,14.0,0.786,0.956876597234181
beabadoobee,2687384,334613122,124.51,1,14.804079159804832,19.62848556571205,10484697.0,20613.943,62876.91,253189.0,6110.0,10.0,0.0247,16.165427418851362,9.93377148016022,7.0,0.571,0.9940699253763472
Wet Leg,937800,29661289,31.63,0,13.751293051962497,17.205353386648028,1300525.0,2783.406,8830.3,25634.0,1429.0,10.0,0.0208,14.07827935598165,7.931789844154997,20.0,0.8,0.9368228942155838
